timestamp,UTC time,question id,survey id,question type,question text,question answer options,answer,event
1570374171412,2019-10-06T15:02:51.412,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the ,changed
1570374171796,2019-10-06T15:02:51.796,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the b,changed
1570374171984,2019-10-06T15:02:51.984,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the bu,changed
1570374172042,2019-10-06T15:02:52.042,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the bus,changed
1570374173045,2019-10-06T15:02:53.045,de7be8e5-3afc-4953-9d72-addb7580d0ed,ybxXQ6h8kTfEcF3ZR3bZafAr,free_response,Did access to Uber credits help your family in other ways?  Please comment below,Text-field input type = MULTI_LINE_TEXT,Helped me get my son to daycare and not have to walk an hour just to get to the bus,unpresent
1570374173123,2019-10-06T15:02:53.123,cb19c1d8-4bc2-48fc-e45e-9fc980f61cc9,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,What was the most important thing that participating in this study helped you with?,[Ability to search for a better job outside my neighborhood;Ability to work more or different hours on my job;Better commute/access to my current job;Better access to training;Better access to health care;Better access to other social services;Other],NO_ANSWER_SELECTED,present
1570374181315,2019-10-06T15:03:01.315,cb19c1d8-4bc2-48fc-e45e-9fc980f61cc9,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,What was the most important thing that participating in this study helped you with?,[Ability to search for a better job outside my neighborhood;Ability to work more or different hours on my job;Better commute/access to my current job;Better access to training;Better access to health care;Better access to other social services;Other],Ability to work more or different hours on my job,changed
1570374184547,2019-10-06T15:03:04.547,cb19c1d8-4bc2-48fc-e45e-9fc980f61cc9,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,What was the most important thing that participating in this study helped you with?,[Ability to search for a better job outside my neighborhood;Ability to work more or different hours on my job;Better commute/access to my current job;Better access to training;Better access to health care;Better access to other social services;Other],Better commute/access to my current job,changed
1570374193789,2019-10-06T15:03:13.789,cb19c1d8-4bc2-48fc-e45e-9fc980f61cc9,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,What was the most important thing that participating in this study helped you with?,[Ability to search for a better job outside my neighborhood;Ability to work more or different hours on my job;Better commute/access to my current job;Better access to training;Better access to health care;Better access to other social services;Other],Better commute/access to my current job,unpresent
1570374193836,2019-10-06T15:03:13.836,381fec96-2649-4b3e-b7a4-c9a1e3e53560,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did the “find route” function of this app help you to make the most out of your Uber credits by combining Uber and other transit options?,[Yes;No],,present
1570374199665,2019-10-06T15:03:19.665,381fec96-2649-4b3e-b7a4-c9a1e3e53560,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did the “find route” function of this app help you to make the most out of your Uber credits by combining Uber and other transit options?,[Yes;No],Yes,changed
1570374201082,2019-10-06T15:03:21.082,381fec96-2649-4b3e-b7a4-c9a1e3e53560,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,Did the “find route” function of this app help you to make the most out of your Uber credits by combining Uber and other transit options?,[Yes;No],Yes,unpresent
1570374201120,2019-10-06T15:03:21.120,7413b379-075a-4040-af15-efde7f1d65cd,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,State and local governments provide financial assistance for qualified residents to carpool or “vanpool” to work.  These programs can enable those without their own cars to commute to work more easily.  Are you interested in finding out more about this program?,[Yes;No],,present
1570374221198,2019-10-06T15:03:41.198,7413b379-075a-4040-af15-efde7f1d65cd,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,State and local governments provide financial assistance for qualified residents to carpool or “vanpool” to work.  These programs can enable those without their own cars to commute to work more easily.  Are you interested in finding out more about this program?,[Yes;No],Yes,changed
1570374222161,2019-10-06T15:03:42.161,7413b379-075a-4040-af15-efde7f1d65cd,ybxXQ6h8kTfEcF3ZR3bZafAr,radio_button,State and local governments provide financial assistance for qualified residents to carpool or “vanpool” to work.  These programs can enable those without their own cars to commute to work more easily.  Are you interested in finding out more about this program?,[Yes;No],Yes,unpresent
1570374222204,2019-10-06T15:03:42.204,16f14866-c43d-4417-8377-7a3064616baa,ybxXQ6h8kTfEcF3ZR3bZafAr,info_text_box,Thank you for participating in our study!,,,present
1570374223460,2019-10-06T15:03:43.460,16f14866-c43d-4417-8377-7a3064616baa,ybxXQ6h8kTfEcF3ZR3bZafAr,info_text_box,Thank you for participating in our study!,,,unpresent
1570374226073,2019-10-06T15:03:46.073,,ybxXQ6h8kTfEcF3ZR3bZafAr,,,,,submitted
1570374229124,2019-10-06T15:03:49.124,23ee4070-afa2-4f70-c0f9-cadf619a2a29,JjEekCUrr5yjHW32kxGQivmQ,info_text_box,Survey for App Testers Thank you for participating in this survey. The survey should take you less than 10 minutes to complete.,,,present
1570374230965,2019-10-06T15:03:50.965,23ee4070-afa2-4f70-c0f9-cadf619a2a29,JjEekCUrr5yjHW32kxGQivmQ,info_text_box,Survey for App Testers Thank you for participating in this survey. The survey should take you less than 10 minutes to complete.,,,unpresent
1570374231014,2019-10-06T15:03:51.014,1f5bc1fc-3fdd-44ce-87e5-368be077fe76,JjEekCUrr5yjHW32kxGQivmQ,radio_button,Did you experience more rapid battery use or significant data charges when our study app was on your phone?,[Yes;No],,present
